sans,16,False,False,1,0,1,1
32,0,0,8,16,8,0
33,8,0,8,16,8,0
34,16,0,8,16,8,0
35,24,0,8,16,8,0
36,32,0,9,16,9,0
37,41,0,8,16,8,0
38,49,0,10,16,10,0
39,59,0,8,16,8,0
40,67,0,8,16,8,0
41,75,0,8,16,8,0
42,83,0,8,16,8,0
43,91,0,8,16,8,0
44,99,0,8,16,8,0
45,107,0,8,16,8,0
46,115,0,8,16,8,0
47,123,0,8,16,8,0
48,131,0,8,16,8,0
49,139,0,8,16,8,0
50,147,0,8,16,8,0
51,155,0,8,16,8,0
52,163,0,8,16,8,0
53,171,0,8,16,8,0
54,179,0,8,16,8,0
55,187,0,8,16,8,0
56,195,0,8,16,8,0
57,203,0,8,16,8,0
58,211,0,8,16,8,0
59,219,0,8,16,8,0
60,227,0,8,16,8,0
61,235,0,8,16,8,0
62,243,0,8,16,8,0
63,251,0,8,16,8,0
64,259,0,10,16,10,0
65,269,0,9,16,9,0
66,278,0,8,16,8,0
67,286,0,9,16,9,0
68,295,0,8,16,8,0
69,303,0,8,16,8,0
70,311,0,8,16,8,0
71,319,0,10,16,10,0
72,329,0,9,16,9,0
73,338,0,8,16,8,0
74,346,0,8,16,8,0
75,354,0,8,16,8,0
76,362,0,8,16,8,0
77,370,0,11,16,11,0
78,381,0,10,16,10,0
79,391,0,11,16,11,0
80,402,0,7,16,7,0
81,409,0,12,16,12,0
82,421,0,8,16,8,0
83,429,0,8,16,8,0
84,437,0,9,16,9,0
85,446,0,9,16,9,0
86,455,0,9,16,9,0
87,464,0,12,16,12,0
88,476,0,10,16,10,0
89,486,0,9,16,9,0
90,495,0,9,16,9,0
91,504,0,8,16,8,0
92,512,0,8,16,8,0
93,520,0,8,16,8,0
94,528,0,8,16,8,0
95,536,0,8,16,8,0
96,544,0,8,16,8,0
97,552,0,8,16,8,0
98,560,0,8,16,8,0
99,568,0,8,16,8,0
100,576,0,8,16,8,0
101,584,0,8,16,8,0
102,592,0,8,16,8,0
103,600,0,8,16,8,0
104,608,0,8,16,8,0
105,616,0,5,16,5,0
106,621,0,8,16,8,0
107,629,0,8,16,8,0
108,637,0,5,16,5,0
109,642,0,9,16,9,0
110,651,0,8,16,8,0
111,659,0,8,16,8,0
112,667,0,8,16,8,0
113,675,0,8,16,8,0
114,683,0,8,16,8,0
115,691,0,8,16,8,0
116,699,0,8,16,8,0
117,707,0,8,16,8,0
118,715,0,8,16,8,0
119,723,0,9,16,9,0
120,732,0,8,16,8,0
121,740,0,8,16,8,0
122,748,0,8,16,8,0
123,756,0,8,16,8,0
124,764,0,8,16,8,0
125,772,0,8,16,8,0
126,780,0,8,16,8,0
192,788,0,8,16,8,0
193,796,0,8,16,8,0
194,804,0,8,16,8,0
196,812,0,8,16,8,0
198,820,0,8,16,8,0
199,828,0,8,16,8,0
200,836,0,8,16,8,0
201,844,0,8,16,8,0
202,852,0,8,16,8,0
203,860,0,8,16,8,0
205,868,0,8,16,8,0
206,876,0,8,16,8,0
207,884,0,8,16,8,0
209,892,0,8,16,8,0
211,900,0,8,16,8,0
212,908,0,8,16,8,0
214,916,0,8,16,8,0
217,924,0,8,16,8,0
218,932,0,8,16,8,0
219,940,0,8,16,8,0
220,948,0,8,16,8,0
223,956,0,8,16,8,0
224,964,0,8,16,8,0
225,972,0,8,16,8,0
226,980,0,8,16,8,0
228,988,0,8,16,8,0
230,996,0,8,16,8,0
231,1004,0,8,16,8,0
232,1012,0,8,16,8,0
233,1020,0,8,16,8,0
234,1028,0,8,16,8,0
235,1036,0,8,16,8,0
237,1044,0,8,16,8,0
238,1052,0,8,16,8,0
239,1060,0,8,16,8,0
241,1068,0,8,16,8,0
243,1076,0,8,16,8,0
244,1084,0,8,16,8,0
246,1092,0,8,16,8,0
249,1100,0,8,16,8,0
250,1108,0,8,16,8,0
251,1116,0,8,16,8,0
252,1124,0,8,16,8,0
255,1132,0,8,16,8,0
305,1140,0,8,16,8,0
338,1148,0,8,16,8,0
339,1156,0,8,16,8,0
376,1164,0,8,16,8,0
183,0,16,17,15,17,0
916,17,16,17,15,17,0
8212,34,16,17,15,17,0
8216,51,16,17,15,17,0
8217,68,16,17,15,17,0
8220,85,16,17,15,17,0
8221,102,16,17,15,17,0
8230,119,16,17,15,17,0
8592,136,16,17,15,17,0
8593,153,16,17,15,17,0
8594,170,16,17,15,17,0
8595,187,16,17,15,17,0
8734,204,16,17,15,17,0
12288,221,16,17,15,17,0
12289,238,16,17,15,17,0
12290,255,16,17,15,17,0
12298,272,16,17,15,17,0
12299,289,16,17,15,17,0
12300,306,16,17,15,17,0
12301,323,16,17,15,17,0
12304,340,16,17,15,17,0
12305,357,16,17,15,17,0
19968,374,16,17,15,17,0
19969,391,16,17,15,17,0
19971,408,16,17,15,17,0
19975,425,16,17,15,17,0
19976,442,16,17,15,17,0
19977,459,16,17,15,17,0
19978,476,16,17,15,17,0
19979,493,16,17,15,17,0
19981,510,16,17,15,17,0
19982,527,16,17,15,17,0
19983,544,16,17,15,17,0
19984,561,16,17,15,17,0
19985,578,16,17,15,17,0
19987,595,16,17,15,17,0
19988,612,16,17,15,17,0
19989,629,16,17,15,17,0
19990,646,16,17,15,17,0
19992,663,16,17,15,17,0
19993,680,16,17,15,17,0
19994,697,16,17,15,17,0
19995,714,16,17,15,17,0
19996,731,16,17,15,17,0
19997,748,16,17,15,17,0
19998,765,16,17,15,17,0
20002,782,16,17,15,17,0
20004,799,16,17,15,17,0
20005,816,16,17,15,17,0
20007,833,16,17,15,17,0
