"name","shift_x","shift_y","size","source"
"ComicSans",0,0,16,"fonts/ComicSans.png"
"CryptOfTomorrow",0.5,1.5,8,"fonts/CryptOfTomorrow.png"
"DeterminationMono",-0.5,0.5,16,"fonts/DeterminationMono.png"
"DeterminationSans",0.5,0.5,16,"fonts/DeterminationSans.png"
"DiaryOfAn8BitMage",0,0,20,"fonts/DiaryOfAn8BitMage.png"
"DotumChe",0,0,18,"fonts/DotumChe.png"
"MarsNeedsCunnilingus",0.5,1,24,"fonts/MarsNeedsCunnilingus.png"
"Papyrus",0,0,16,"fonts/Papyrus.png"
